country,industry_id,name_zh,name_en,bea_line,period,current_value_added_usd_million,source_url,sheet,cell,release_date,vintage
US,us-real-estate,房地产及租赁业,Real estate and rental and leasing,60,2025,4238566,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF68,2026-06-25,2026-06-25
US,us-professional,专业、科学和技术服务业,"Professional, scientific, and technical services",66,2021,1885233,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB74,2026-06-25,2026-06-25
US,us-professional,专业、科学和技术服务业,"Professional, scientific, and technical services",66,2022,2057502,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC74,2026-06-25,2026-06-25
US,us-professional,专业、科学和技术服务业,"Professional, scientific, and technical services",66,2023,2220588,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD74,2026-06-25,2026-06-25
US,us-professional,专业、科学和技术服务业,"Professional, scientific, and technical services",66,2024,2355069,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE74,2026-06-25,2026-06-25
US,us-professional,专业、科学和技术服务业,"Professional, scientific, and technical services",66,2025,2494176,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF74,2026-06-25,2026-06-25
US,us-management,公司和企业管理,Management of companies and enterprises,70,2021,445734,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB78,2026-06-25,2026-06-25
US,us-management,公司和企业管理,Management of companies and enterprises,70,2022,479846,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC78,2026-06-25,2026-06-25
US,us-management,公司和企业管理,Management of companies and enterprises,70,2023,504015,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD78,2026-06-25,2026-06-25
US,us-management,公司和企业管理,Management of companies and enterprises,70,2024,544333,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE78,2026-06-25,2026-06-25
US,us-management,公司和企业管理,Management of companies and enterprises,70,2025,576771,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF78,2026-06-25,2026-06-25
US,us-administrative,行政及废弃物管理服务业,Administrative and waste management services,71,2021,740139,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB79,2026-06-25,2026-06-25
US,us-administrative,行政及废弃物管理服务业,Administrative and waste management services,71,2022,836987,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC79,2026-06-25,2026-06-25
US,us-administrative,行政及废弃物管理服务业,Administrative and waste management services,71,2023,885237,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD79,2026-06-25,2026-06-25
US,us-administrative,行政及废弃物管理服务业,Administrative and waste management services,71,2024,911703,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE79,2026-06-25,2026-06-25
US,us-administrative,行政及废弃物管理服务业,Administrative and waste management services,71,2025,952426,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF79,2026-06-25,2026-06-25
US,us-education,教育服务业,Educational services,75,2021,269939,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB83,2026-06-25,2026-06-25
US,us-education,教育服务业,Educational services,75,2022,296087,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC83,2026-06-25,2026-06-25
US,us-education,教育服务业,Educational services,75,2023,316421,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD83,2026-06-25,2026-06-25
US,us-education,教育服务业,Educational services,75,2024,334785,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE83,2026-06-25,2026-06-25
US,us-education,教育服务业,Educational services,75,2025,347194,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF83,2026-06-25,2026-06-25
US,us-health,医疗保健和社会援助,Health care and social assistance,76,2021,1734179,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB84,2026-06-25,2026-06-25
US,us-health,医疗保健和社会援助,Health care and social assistance,76,2022,1863046,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC84,2026-06-25,2026-06-25
US,us-health,医疗保健和社会援助,Health care and social assistance,76,2023,2043659,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD84,2026-06-25,2026-06-25
US,us-health,医疗保健和社会援助,Health care and social assistance,76,2024,2209381,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE84,2026-06-25,2026-06-25
US,us-health,医疗保健和社会援助,Health care and social assistance,76,2025,2371037,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF84,2026-06-25,2026-06-25
US,us-arts,艺术、娱乐和休闲业,"Arts, entertainment, and recreation",82,2021,215564,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB90,2026-06-25,2026-06-25
US,us-arts,艺术、娱乐和休闲业,"Arts, entertainment, and recreation",82,2022,263960,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC90,2026-06-25,2026-06-25
US,us-arts,艺术、娱乐和休闲业,"Arts, entertainment, and recreation",82,2023,303721,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD90,2026-06-25,2026-06-25
US,us-arts,艺术、娱乐和休闲业,"Arts, entertainment, and recreation",82,2024,326765,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE90,2026-06-25,2026-06-25
US,us-arts,艺术、娱乐和休闲业,"Arts, entertainment, and recreation",82,2025,355839,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF90,2026-06-25,2026-06-25
US,us-hospitality,住宿和餐饮业,Accommodation and food services,85,2021,695395,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB93,2026-06-25,2026-06-25
US,us-hospitality,住宿和餐饮业,Accommodation and food services,85,2022,806303,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC93,2026-06-25,2026-06-25
US,us-hospitality,住宿和餐饮业,Accommodation and food services,85,2023,915775,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD93,2026-06-25,2026-06-25
US,us-hospitality,住宿和餐饮业,Accommodation and food services,85,2024,960356,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE93,2026-06-25,2026-06-25
US,us-hospitality,住宿和餐饮业,Accommodation and food services,85,2025,976493,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF93,2026-06-25,2026-06-25
US,us-other-services,其他服务业（政府除外）,"Other services, except government",88,2021,484518,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB96,2026-06-25,2026-06-25
US,us-other-services,其他服务业（政府除外）,"Other services, except government",88,2022,549781,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC96,2026-06-25,2026-06-25
US,us-other-services,其他服务业（政府除外）,"Other services, except government",88,2023,589187,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD96,2026-06-25,2026-06-25
US,us-other-services,其他服务业（政府除外）,"Other services, except government",88,2024,627985,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE96,2026-06-25,2026-06-25
US,us-other-services,其他服务业（政府除外）,"Other services, except government",88,2025,649382,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF96,2026-06-25,2026-06-25
US,us-government,政府,Government,89,2021,2807928,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB97,2026-06-25,2026-06-25
US,us-government,政府,Government,89,2022,2925723,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC97,2026-06-25,2026-06-25
US,us-government,政府,Government,89,2023,3098723,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD97,2026-06-25,2026-06-25
US,us-government,政府,Government,89,2024,3296342,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE97,2026-06-25,2026-06-25
US,us-government,政府,Government,89,2025,3447010,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF97,2026-06-25,2026-06-25
